"cancer" "samples" "ntotal"
"BLCA" 503 376
"BLCA" 503 229
"BLCA" 503 213
"BLCA" 503 23
"BLCA" 503 173
"BLCA" 503 185
"BLCA" 503 83
"BLCA" 503 350
"BLCA" 503 90
"BLCA" 503 69
"BLCA" 503 148
"BLCA" 503 167
"BLCA" 503 89
"BLCA" 503 233
"BLCA" 503 57
"BLCA" 503 79
"BLCA" 503 81
"BLCA" 503 60
"BLCA" 503 96
"BLCA" 503 216
"BLCA" 503 73
"BLCA" 503 120
"BLCA" 503 342
"BLCA" 503 85
"BLCA" 503 34
"BLCA" 503 110
"BLCA" 503 22
"BLCA" 503 56
"BLCA" 503 26
"BLCA" 503 225
"BLCA" 503 56
"BLCA" 503 175
"BLCA" 503 81
"BLCA" 503 148
"BLCA" 503 57
"BLCA" 503 179
"BLCA" 503 19
"BLCA" 503 86
"BLCA" 503 75
"BLCA" 503 51
"BLCA" 503 42
"BLCA" 503 44
"BLCA" 503 35
"BLCA" 503 66
"BLCA" 503 45
"BLCA" 503 45
"BLCA" 503 28
"BLCA" 503 65
"BLCA" 503 222
"BLCA" 503 168
"BLCA" 503 59
"BLCA" 503 51
"BLCA" 503 112
"BLCA" 503 70
"BLCA" 503 151
"BLCA" 503 24
"BLCA" 503 24
"BLCA" 503 37
"BLCA" 503 124
"BLCA" 503 90
"BLCA" 503 24
"BLCA" 503 123
"BLCA" 503 37
"BLCA" 503 50
"BLCA" 503 47
"BLCA" 503 59
"BLCA" 503 16
"BLCA" 503 104
"BLCA" 503 20
"BLCA" 503 23
"BLCA" 503 102
"BLCA" 503 126
"BLCA" 503 62
"BLCA" 503 24
"BLCA" 503 109
"BLCA" 503 67
"BLCA" 503 245
"BLCA" 503 262
"BLCA" 503 21
"BLCA" 503 52
"BLCA" 503 107
"BLCA" 503 101
"BLCA" 503 24
"BLCA" 503 93
"BLCA" 503 85
"BLCA" 503 103
"BLCA" 503 48
"BLCA" 503 214
"BLCA" 503 105
"BLCA" 503 29
"BLCA" 503 10
"BLCA" 503 70
"BLCA" 503 74
"BLCA" 503 21
"BLCA" 503 98
"BLCA" 503 25
"BLCA" 503 45
"BLCA" 503 32
"BLCA" 503 56
"BLCA" 503 63
"BLCA" 503 71
"BLCA" 503 109
"BLCA" 503 59
"BLCA" 503 119
"BLCA" 503 34
"BLCA" 503 293
"BLCA" 503 19
"BLCA" 503 63
"BLCA" 503 41
"BLCA" 503 56
"BLCA" 503 21
"BLCA" 503 171
"BLCA" 503 64
"BLCA" 503 23
"BLCA" 503 185
"BLCA" 503 44
"BLCA" 503 141
"BLCA" 503 71
"BLCA" 503 28
"BLCA" 503 222
"BLCA" 503 96
"BLCA" 503 35
"BLCA" 503 24
"BLCA" 503 26
"BLCA" 503 7
"BLCA" 503 15
"BLCA" 503 368
"BLCA" 503 93
"BLCA" 503 46
"BLCA" 503 150
"BLCA" 503 234
"BLCA" 503 66
"BLCA" 503 357
"BLCA" 503 9
"BLCA" 503 119
"BLCA" 503 153
"BLCA" 503 228
"BLCA" 503 45
"BLCA" 503 384
"BLCA" 503 175
"BLCA" 503 275
"BLCA" 503 133
"BLCA" 503 70
"BLCA" 503 50
"BLCA" 503 314
"BLCA" 503 141
"BLCA" 503 169
"BLCA" 503 78
"BLCA" 503 102
"BLCA" 503 138
"BLCA" 503 79
"BLCA" 503 68
"BLCA" 503 123
"BLCA" 503 101
"BLCA" 503 24
"BLCA" 503 434
"BLCA" 503 332
"BLCA" 503 173
"BLCA" 503 123
"BLCA" 503 177
"BLCA" 503 60
"BLCA" 503 65
"BLCA" 503 53
"BLCA" 503 374
"BLCA" 503 66
"BLCA" 503 250
"BLCA" 503 36
"BLCA" 503 256
"BLCA" 503 124
"BLCA" 503 120
"BLCA" 503 118
"BLCA" 503 52
"BLCA" 503 109
"BLCA" 503 141
"BLCA" 503 169
"BLCA" 503 169
"BLCA" 503 85
"BLCA" 503 29
"BLCA" 503 48
"BLCA" 503 16
"BLCA" 503 16
"BLCA" 503 48
"BLCA" 503 16
"BLCA" 503 203
"BLCA" 503 36
"BLCA" 503 35
"BLCA" 503 50
"BLCA" 503 27
"BLCA" 503 36
"BLCA" 503 49
"BLCA" 503 87
"BLCA" 503 25
"BLCA" 503 32
"BLCA" 503 13
"BLCA" 503 103
"BLCA" 503 61
"BLCA" 503 93
