"cancer" "mutation" "mu0" "mu1" "mu"
"BLCA" "ACA_A" -17.0687233956927 0.644413511502457 -13.9807929552347
"BLCA" "ACA_G" -19.3241875539659 1.02167447142222 -14.3106753821768
"BLCA" "ACA_T" -17.2465593817851 0.820564669706619 -13.2692624519863
"BLCA" "ACC_A" -17.0207098289132 0.651317014760832 -13.898261285391
"BLCA" "ACC_G" -19.6246045220694 1.03327136211949 -14.5506972808939
"BLCA" "ACC_T" -16.643511580438 0.671527294684555 -13.4198488821545
"BLCA" "ACG_A" -16.9668496110703 0.753447842809057 -13.3304997677228
"BLCA" "ACG_G" -18.4995473292166 0.959903705432039 -13.8065720534471
"BLCA" "ACG_T" -13.0925632640587 0.393282098205242 -11.2405890451726
"BLCA" "ACT_A" -18.0631526452673 0.793254108003606 -14.224894071393
"BLCA" "ACT_G" -18.7907658898554 0.951716192403151 -14.1401288047653
"BLCA" "ACT_T" -16.8237934176224 0.676439697206392 -13.5754930264661
"BLCA" "ATA_A" -18.0286952097055 0.764785121990456 -14.3349301678547
"BLCA" "ATA_C" -15.8903154272438 0.677496136564622 -12.636714724456
"BLCA" "ATA_G" -19.5213357931719 0.916924227034293 -15.0502184742919
"BLCA" "ATC_A" -17.6235389142367 0.652426674034847 -14.4955393605636
"BLCA" "ATC_C" -17.7196929325966 0.779728398042616 -13.9501403270326
"BLCA" "ATC_G" -16.6474666306755 0.267002334353377 -15.4017797565842
"BLCA" "ATG_A" -17.1990971975373 0.576668188823581 -14.4483949908602
"BLCA" "ATG_C" -16.0724679696175 0.574359620244672 -13.3332089762575
"BLCA" "ATG_G" -18.1580395317225 0.592453609593801 -15.3290051277145
"BLCA" "ATT_A" -18.8305774974646 0.870296838489419 -14.5990411371469
"BLCA" "ATT_C" -15.7877423886377 0.512412165875153 -13.3543320140238
"BLCA" "ATT_G" -18.0400970607796 0.63213815449033 -15.0134749152378
"BLCA" "CCA_A" -17.8130098376617 0.825009986223304 -13.8130427439861
"BLCA" "CCA_G" -20.0111388824932 1.1627214075941 -14.2585440875488
"BLCA" "CCA_T" -17.1100933382327 0.850651295207369 -12.9791494908159
"BLCA" "CCC_A" -17.8442659933115 0.83074040913051 -13.8150589342585
"BLCA" "CCC_G" -18.4258262298414 0.858000164260822 -14.2572779368409
"BLCA" "CCC_T" -16.314499660787 0.664143873493974 -13.1278412897569
"BLCA" "CCG_A" -16.3943888899081 0.618029518948585 -13.4381207971575
"BLCA" "CCG_G" -17.9477447064965 0.870614952093459 -13.714577766515
"BLCA" "CCG_T" -13.805060967045 0.46126716513133 -11.6223739082721
"BLCA" "CCT_A" -18.5123040191088 0.906792457176233 -14.093344500344
"BLCA" "CCT_G" -18.97616124229 1.03482701683187 -13.8941471889598
"BLCA" "CCT_T" -16.4639095966972 0.714534900107081 -13.024070645438
"BLCA" "CTA_A" -17.8925907018694 0.725937435929607 -14.3952583230447
"BLCA" "CTA_C" -17.2374871407665 0.714552989929823 -13.7975570367777
"BLCA" "CTA_G" -18.5020886110063 0.691560462997486 -15.1778632391217
"BLCA" "CTC_A" -19.1633672083341 0.928284227303579 -14.6337045637892
"BLCA" "CTC_C" -15.3208127524765 0.250168456063726 -14.1551420081945
