"cancer" "gene" "role" "samples" "n" "n_uniq" "n_expected" "log_mu_observed" "log_mu_expected" "df" "LL_model0" "LL_model1" "LL_model96" "LL0_model0" LL0_model1" "LL0_model96" "LL0_ABC" "n_max"
"cancer" "gene" "ROLE" "samples" "n" "n_uniq" "pred" "pred_mut" "pred_nmut" "df" "m0_pois" "m1_pois" "m2_pois" "m0_rate" "m1_rate" "m2_rate" "m0_rate0" "nmax"
"BLCA" "BIRC6" "LoF" 503 56 55 32.8622823081133 -11.5668822718364 -11.7001147088919 48287 -347.489593531423 -347.489247287609 -310.060077757685 -347.418678376939 -347.062867086817 -309.989162730289 -66.1170636929739 2
"BLCA" "ERBB2" "Act" 503 66 32 7.53943522151793 -11.7653741933178 -11.9856287629034 48287 -407.923297843778 -406.710800307855 -349.090241341553 -410.922948242944 -409.927023331723 -352.089891837818 -86.3534673816729 21
"BLCA" "ERBB3" "Act" 503 53 43 8.97526440864944 -11.6376771879795 -11.781759604637 48287 -343.975970675997 -342.67194506984 -308.438927549358 -345.543641621082 -344.371472241649 -310.006598735423 -64.4772192642121 5
"BLCA" "FGFR3" "Act" 503 83 20 5.18492727085787 -12.9460651721463 -11.9555530572108 48287 -615.24901505088 -608.432601028038 -440.758965202766 -615.135475983756 -613.676040722739 -440.645426206266 -198.385204444042 35
"BLCA" "PIK3CA" "Act" 503 117 45 7.43976152791665 -11.4883249873663 -11.661751112139 48287 -627.740964000924 -626.215788706502 -529.402385175569 -623.715445799226 -613.393673671256 -525.376867071019 -132.20911323977 36
"BLCA" "TP53" "LoF" 503 180 93 2.73969391371973 -12.1513675958676 -11.777184373747 48287 -1018.84816685501 -1004.55679056917 -901.263930659213 -1027.4998050528 -1026.25176279951 -909.915569037546 -177.121615720698 18
"BRCA" "AKT1" "Act" 1599 50 4 2.73400632850637 -14.7389886080514 -12.9347146144558 151904 -444.882604138429 -442.331796037747 -301.078586464299 -439.701650446542 -439.624420575023 -295.897632855125 -150.419721379587 44
"BRCA" "PIK3CA" "Act" 1599 519 65 5.14130775167664 -14.8002477702979 -13.0382236953043 153503 -3517.11108402119 -3516.99729813182 -2500.68612494927 -3486.26546904595 -3473.32666015738 -2469.84051038384 -1074.74235191255 181
"BRCA" "TP53" "LoF" 1599 345 149 2.115772264454 -14.2471170191542 -12.9986963785081 153503 -2435.98559121168 -2430.59660500991 -2190.41580401789 -2487.91332365298 -2473.73336147368 -2242.34353780871 -349.006361688962 33
"CESC" "PIK3CA" "Act" 279 91 27 2.54587414587076 -11.6166663021986 -11.8041285578599 26783 -432.202272425741 -432.195072683528 -329.125121257571 -428.734056582233 -420.805462262508 -325.656905555938 -126.666376538268 36
"CH" "KRAS" "Act" 338 57 13 0.162476150794614 -14.9834306524404 -13.9184278973619 30757 -452.797247053944 -452.454823991104 -287.38499744034 -454.918534111258 -452.389470083945 -289.506285899321 -183.618250450537 23
"CH" "TP53" "LoF" 338 56 43 0.432268503476084 -13.9976858863692 -13.3727433960952 32447 -391.428223525079 -391.215767323081 -338.66522822374 -386.754006245802 -386.110522450344 -333.991010996052 -89.5161608743403 3
"COREAD" "FAT4" "LoF" 607 71 69 17.7926576063801 -13.230530264111 -12.9330761393312 58271 -515.462286243663 -514.003111723956 -466.93090328015 -515.718380809343 -515.10592356327 -467.186997802122 -96.1618047053661 2
"COREAD" "FBXW7" "LoF" 607 50 22 2.28584373691557 -11.5221734326288 -13.1755851024443 58271 -341.171407679184 -313.90361112546 -284.712219333957 -341.033613786776 -313.568526770924 -284.574425414351 -76.9006598708919 8
"COREAD" "KRAS" "Act" 607 259 26 0.555828787712013 -13.8376208628056 -13.4946628038591 55236 -1688.11632231444 -1682.27633164745 -1045.3537961173 -1683.87437513439 -1681.97006910418 -1041.11184879744 -677.97395026148 67
"COREAD" "PIK3CA" "Act" 607 115 42 3.39416856815898 -13.525323501284 -13.2343629554516 58271 -777.44298833296 -776.721986771057 -556.25140783144 -776.765748443875 -775.245409304117 -555.574167887806 -258.565980589213 34
"COREAD" "TP53" "LoF" 607 292 114 1.79637122430324 -12.4284672555459 -12.3805189025548 58271 -1552.06978773295 -1550.74251098588 -1422.61373154024 -1550.63743543542 -1549.77492061132 -1421.18137903714 -214.282622513411 38
"DLBCL" "PIM1" "LoF" 84 55 39 0.137681042708846 -13.5412011287695 -12.5496626926459 8063 -304.404917163555 -298.619474452213 -204.569084039695 -303.121861560282 -294.370516598548 -203.286028933718 -124.167774103454 5
"ESCA" "FAT4" "LoF" 607 57 56 19.9864089499788 -12.9039515811596 -12.9860225365141 58271 -409.711119372203 -406.938518411419 -370.16117393992 -411.463509449203 -411.443211289445 -371.913564070564 -80.8657157142365 2
"ESCA" "LRP1B" "LoF" 607 86 85 18.0594935430581 -13.4077752444663 -13.0711504701525 58271 -609.940478471241 -607.311439719946 -552.070773170059 -612.18988885457 -609.408135273326 -554.320183568219 -113.223919511489 2
"ESCA" "PIK3CA" "Act" 607 57 20 4.1689453079264 -13.0878013421501 -13.0639524197461 58271 -404.464086637468 -400.629214526632 -287.273558388796 -405.672707703764 -404.243205950547 -288.482179441394 -135.861982870218 23
"ESCA" "TP53" "LoF" 607 325 137 1.77891464805937 -13.1602881064272 -12.7170180572974 58271 -1895.42917254617 -1888.94662304259 -1693.02350797154 -1900.86435268251 -1900.1031624877 -1698.45868792536 -296.098978402913 21
"GBM" "EGFR" "Act" 358 97 41 1.59766510216022 -14.1520433784359 -12.7001749551229 34367 -641.099028616295 -625.593287303167 -512.721952826339 -641.472969133563 -624.002198103123 -513.095893566452 -169.964092461902 17
"GBM" "PTEN" "LoF" 358 57 50 0.355344151080802 -14.3280058473052 -13.7760874019013 34367 -405.014991293025 -404.748059515764 -350.843491244478 -405.885977016737 -404.272928613741 -351.714477041563 -93.768540899353 3
"GBM" "TP53" "LoF" 358 106 60 0.537659524685702 -13.5061493869906 -12.6765128978776 34367 -654.937261724208 -652.833179551828 -577.099102800465 -657.417357630384 -655.374950621977 -579.579198900089 -124.813092837052 8
"HC" "CTNNB1" "Act" 1546 395 53 5.50518860797808 -15.1423566204073 -13.2661213058948 148415 -3077.51020447711 -3076.47788362679 -2414.84518758706 -3114.46433044025 -3028.19045264214 -2451.79931293399 -726.300621787506 44
"HC" "LRP1B" "LoF" 1546 85 83 31.5303106007646 -13.7016272516696 -13.333628379512 148415 -675.810194878545 -675.720279748813 -621.889692279601 -674.34914609479 -674.326533826529 -620.428643323238 -110.811740145484 2
"HC" "TP53" "LoF" 1546 346 183 2.94968267551067 -14.4130002928368 -13.1783458542131 148415 -2551.82115828145 -2551.48962047107 -2378.93075331339 -2543.54194394229 -2543.50511643294 -2370.65153851187 -286.984194360409 52
"HNSC" "FAM135B" "Act" 517 51 51 6.52038588007254 -13.0591532442624 -12.5612629001721 49631 -385.246001280877 -382.936095368703 -331.795418873041 -384.930757467457 -382.225361808788 -331.480175013151 -92.3498715085297 1
"HNSC" "LRP1B" "LoF" 517 88 88 21.9893491959796 -13.1810588962212 -12.5232739948537 49631 -621.787659668891 -616.630387486967 -563.329867886546 -621.163038765528 -614.033608701248 -562.705246933305 -118.142991858765 1
"HNSC" "NOTCH1" "LoF" 517 60 56 13.6055677066658 -12.9497260426777 -12.3748960123063 49631 -422.412923156003 -422.128236994553 -380.27485478551 -426.348906873634 -425.653177431693 -384.21083846927 -77.0263947915602 3
"HNSC" "PIK3CA" "Act" 517 96 33 4.91410902156574 -12.5907408962043 -12.5559190125636 49631 -601.104978493133 -600.788642083091 -454.5817957732 -595.663022560056 -587.112979247469 -449.139839778368 -174.127401784694 29
"HNSC" "TP53" "LoF" 517 258 127 2.01535086151392 -13.0595395321835 -12.4419434715004 49631 -1577.41625340425 -1573.23428751038 -1401.5605410992 -1599.38037346485 -1597.12770101898 -1423.52466119092 -267.355910100771 14
"LGG" "CIC" "LoF" 544 62 34 1.8715776673025 -14.1466894910668 -13.6592309117609 52223 -435.983865686468 -435.63674712694 -377.215621308003 -430.347774313963 -429.194170720265 -371.579529988597 -85.6607416767077 10
"LGG" "IDH1" "Act" 544 396 4 0.392398535503313 -12.1226804325351 -14.1407549611951 52223 -1488.37776420608 -1007.73263715696 -784.607555210676 -1456.59351765523 -926.842331032326 -752.823308835384 -714.123754942416 359
"LGG" "TP53" "LoF" 544 246 113 0.445374597129805 -13.9469980219432 -13.7020476583437 52223 -1380.1830073467 -1379.04061446626 -1243.63637870855 -1378.75122840063 -1378.39050644097 -1242.20459979596 -217.745738817537 54
"LUAD" "CDH10" "Act" 486 68 67 5.93342569804318 -11.8349132368137 -12.2139038305835 46655 -441.020203213615 -440.410002795335 -385.335169526617 -444.702677230802 -440.187334988263 -389.017643591664 -92.8806430515466 2
"LUAD" "FAT4" "LoF" 486 68 68 37.8848860104078 -12.13103135908 -12.208312338366 46655 -455.817083345905 -454.275191894656 -417.519324840463 -455.57223150674 -455.539388766219 -417.274473064714 -87.8409397674479 1
"LUAD" "KEAP1" "Act" 486 69 64 5.5901524169341 -12.3421966248053 -12.0391255013043 46655 -474.854524421088 -474.113216984085 -434.979597206767 -476.963162818244 -476.77705868088 -437.088235624615 -82.1143172079884 2
"LUAD" "KRAS" "Act" 486 150 12 1.32843924657876 -12.6842984358429 -12.3079788679264 44225 -1009.5126745293 -1005.51512690149 -618.269469051546 -1002.40067800284 -990.23191728169 -611.15747255453 -410.511816594167 58
"LUAD" "LRP1B" "LoF" 486 210 209 34.4096433886924 -12.0074661258212 -12.2393596956159 46655 -1146.32343262166 -1145.63399934747 -1086.88473793526 -1145.18998189045 -1139.88230287796 -1085.75128730428 -144.591818069272 2
"LUAD" "TP53" "LoF" 486 156 106 3.41486736457072 -12.5409255254077 -12.0699047373213 46655 -1012.53979271606 -1012.50205962649 -915.792685356299 -1015.90283420842 -1015.42825236719 -919.155726917777 -168.46771204712 5
"LUSC" "CDH10" "Act" 480 96 91 6.38141766957549 -12.5051703308338 -12.3728039266698 46079 -662.725614058382 -660.748159952131 -595.072435127155 -661.532176661382 -661.450247713891 -593.878996925869 -125.377717327424 2
"LUSC" "FAM135B" "Act" 480 132 130 11.3888874389164 -12.379959006817 -12.3903815998592 46079 -845.394409679426 -842.58219613508 -784.094889975635 -845.164203512852 -844.715903868764 -783.864683938131 -133.390655104157 2
