"cancer" "role" "samples" "n" "n_uniq" "n_expected" "log_mu_observed" "log_mu_expected" "df" "LL_model0" "LL_model1" "LL_model96" "LL0_model0" LL0_model1" "LL0_model96" "LL0_ABC"
"cancer" "ROLE" "type" "n" "n_uniq" "k" "pred_nmut" "pred_mut00" "pred_nmut00" "m00" "m1_pois" "m10_pois" "exc_pv" "m1_rate" "m10_rate" "m0_pois" "m1_rate0"
"HNSC" "no" "miss" 51429 51263 49632 -12.487501504653 -12.8134928106347 -12.8141450347271 -83887.7437157208 -53960.9942691989 -88621.3231958366 0.0772280469102033 -55569.1587193055 -88621.3231958366 -53961.0018758301 -366.472064188295
"HNSC" "no_all" "miss" 48880 48721 49632 -12.4877955444178 -12.8143581370637 -12.8143581370636 -80861.7058474674 -52442.7785059177 -85366.3461661228 0.498797037546339 -53987.9696449075 -85366.3461661228 -52442.7785059177 -361.73010058987
"HNSC" "no_specific" "miss" 2549 2542 49632 -12.481048880192 -12.79689918339 -12.8094685606103 -9812.02333636248 -8303.27378896026 -10039.2394463313 1.25587461544496e-11 -8366.29026963808 -10039.2394463313 -8303.46474628766 -264.505145926763
"HNSC" "Act" "miss" 312 203 49632 -12.4852966348 -12.817303870522 -12.8137994263928 -1883.38818163594 -1720.42125392655 -1907.9735228676 2.03060211363448e-112 -1706.93984528189 -1907.9735228676 -1722.10912749658 -207.814634521085
"HNSC" "LoF" "miss" 934 767 49632 -12.5085235375595 -12.8967291861696 -12.8390492078151 -4634.60381209257 -4236.3603653606 -4819.98990976719 3.68590113759596e-150 -4278.88724724345 -4819.98990976719 -4239.45564477476 -324.072076497238
"LGG" "no" "miss" 11102 11038 52224 -13.8633851774343 -14.1227986891779 -14.1136880211682 -29633.486648252 -22060.7609662404 -32436.2598760886 0.187383008999392 -22187.5899486995 -32436.2598760886 -22060.8758333091 -292.541205293449
"LGG" "no_all" "miss" 10506 10447 52224 -13.8602659614722 -14.1107095838051 -14.1107095838051 -28472.9211871042 -21194.5952875945 -31131.3100927427 0.497405285809193 -21319.5059728971 -31131.3100927427 -21194.5952875945 -285.947866236718
"LGG" "no_specific" "miss" 596 591 52224 -13.9284827526228 -14.3358995969748 -14.1758475678473 -3183.61393209352 -2883.34405393057 -3326.18611352592 2.70135038407988e-05 -2884.12858154841 -3326.18611352592 -2885.25228691235 -204.405068699172
"LGG" "Act" "miss" 566 124 52224 -13.8929297084916 -12.7530773667266 -14.1405278563564 -3191.19026587564 -2149.99847903174 -3608.83584923723 0 -2087.53079550348 -3608.83584923723 -2332.13754391292 -452.357211545461
"LGG" "LoF" "miss" 447 279 52224 -13.9209122532321 -14.1307271354966 -14.1691794083551 -2617.72540117204 -2337.84306306358 -2751.69286443071 0 -2335.03520129958 -2751.69286443071 -2338.1924652368 -258.871604759168
"LUAD" "no" "miss" 85046 84686 46656 -12.142647526065 -12.4980665375834 -12.4983413945496 -96959.60998978 -62970.2104322385 -97727.8898149754 0.117185594081402 -64214.0972828322 -97727.8898149754 -62970.3341549469 -396.277450432693
"LUAD" "no_all" "miss" 80805 80467 46656 -12.1423055032977 -12.498026882878 -12.498026882878 -93739.95695915 -61415.4652253595 -94420.4305525215 0.499064381066301 -62601.5531765843 -94420.4305525215 -61415.4652253595 -390.51764904085
"LUAD" "no_specific" "miss" 4241 4219 46656 -12.1497424485794 -12.4988220901572 -12.5048656267157 -13612.1981210029 -11946.9210622812 -13704.2951947355 2.25443626928358e-08 -12006.9890752738 -13704.2951947355 -11949.4251207333 -315.096677594936
"LUAD" "Act" "miss" 491 288 46656 -12.1700395815776 -12.5046944820672 -12.5244782524962 -2786.03868920265 -2558.10690137302 -2766.39550508887 8.77522173267486e-200 -2563.28497639741 -2766.39550508887 -2562.2697061805 -347.513113731497
"LUAD" "LoF" "miss" 734 675 46656 -12.1826940385399 -12.4890043053051 -12.5367531355493 -3623.54907832315 -3346.20079387434 -3676.39265931034 2.2618555862733e-80 -3351.12855101718 -3676.39265931034 -3346.3039950091 -223.731912927181
"LUSC" "no" "miss" 88791 88485 46080 -12.3358879778635 -12.5015707673973 -12.5016712257169 -96873.7720458799 -69140.541697476 -98869.7307232074 0.408049424662404 -69607.016244324 -98869.7307232074 -69140.6146217162 -402.39696749792
"LUSC" "no_all" "miss" 84822 84537 46080 -12.3356617407126 -12.5014523252611 -12.5014523252611 -94214.5477558313 -67697.719892791 -96090.847249024 0.499087134316336 -68149.6695971455 -96090.847249024 -67697.719892791 -396.721525699684
